mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-3.43921,3.48732,-6.41873,2.92507,-4.78510,4.71480,hand_wash
-3.87239,2.96219,-7.02292,3.81705,-2.88088,5.57895,hand_wash
-3.41177,3.10847,-6.61245,2.53631,-4.53770,4.70429,hand_wash
-3.13842,1.70249,-6.29681,2.65750,5.41297,4.41253,hand_wash
-2.67443,2.06712,-2.04952,3.05309,8.76597,3.90894,hand_wash
-4.08118,1.89152,-0.99739,2.83536,9.05575,3.54594,hand_wash
-3.42243,1.02838,-0.47418,0.42470,9.18206,2.07566,hand_wash
-3.23903,1.52308,-5.00942,3.45615,4.67694,5.48366,hand_wash
-4.43440,3.02179,-6.04054,3.95565,-3.38430,4.96045,hand_wash
-4.33220,3.33537,-5.70381,4.17335,-3.41207,5.20179,hand_wash
-4.20110,3.05358,-6.09979,3.07279,-0.36435,6.75713,hand_wash
-4.29523,2.15331,-3.62813,3.39359,7.57748,3.30802,hand_wash
4.62259,1.55213,-5.70176,3.77725,5.68705,2.81748,hand_wash
4.63508,1.71296,-3.10845,4.73184,6.57789,2.62216,hand_wash
5.31374,1.60967,-6.25081,3.11572,2.58425,3.93330,hand_wash
3.23321,2.81410,-2.05487,5.58463,7.30949,2.89059,hand_wash
5.51340,2.43373,-6.51855,3.02723,3.00848,3.93028,hand_wash
3.73164,2.73438,-7.56948,3.01686,3.07825,5.47629,hand_wash
4.08719,1.99122,-7.75225,2.63155,-0.46199,3.12073,hand_wash
4.25059,1.28750,-7.38980,2.72715,3.58871,2.61851,hand_wash
3.49655,1.87671,-7.60992,2.80450,2.25528,4.82265,hand_wash
4.48934,1.69509,-4.20340,3.60488,6.46408,4.07814,hand_wash
7.22504,2.17495,-2.69712,2.05279,5.29876,3.81187,hand_wash
6.68738,1.87467,-2.60043,3.85428,5.44499,3.33239,hand_wash
6.55263,2.46474,-5.00947,4.16276,3.39669,5.23041,hand_wash
3.96644,4.09037,-7.39874,3.84519,1.98947,8.15898,hand_wash
5.26485,2.38128,-6.88844,2.15279,2.34534,3.59828,hand_wash
4.59165,1.41329,-7.01098,3.16530,3.08661,3.46500,hand_wash
5.91497,2.48448,-5.56215,4.34439,2.57644,4.22329,hand_wash
5.26861,1.32620,-4.16894,3.64536,5.36934,3.52546,hand_wash
6.51387,2.12775,-4.65169,3.54858,5.59202,4.14436,hand_wash
5.98244,2.60749,-2.48047,3.89861,4.93076,4.90577,hand_wash
6.41498,2.84744,-5.57338,5.06788,1.88696,3.44265,hand_wash
5.67851,2.70389,-4.65177,4.71345,4.33759,4.37447,hand_wash
5.50208,2.47041,-6.83010,3.06875,0.34529,4.21053,hand_wash
1.00706,2.78926,2.26493,4.36794,8.18008,2.64384,hand_wash
-1.94458,1.87888,-7.35971,2.78789,1.38115,6.16611,hand_wash
-2.95624,3.50378,-7.56483,3.50879,-3.31116,5.31936,hand_wash
-3.35555,3.48224,-6.86867,3.94370,-1.81600,5.98031,hand_wash
-3.35599,3.10161,-6.32823,3.23616,-4.54442,5.87339,hand_wash
-3.60750,2.94412,-6.01335,2.89739,-5.16553,3.79092,hand_wash
-1.72578,2.57775,-6.50101,3.63471,5.07480,4.56951,hand_wash
-1.31826,3.69519,-4.61476,3.52944,8.48649,5.19647,hand_wash
-2.70146,1.91822,-5.85608,3.86246,3.30382,6.04882,hand_wash
-2.92574,3.40002,-6.94300,2.80294,-4.27455,4.74139,hand_wash
-2.92594,3.81782,-7.63133,4.30414,-2.74809,5.59856,hand_wash
-3.53751,2.41167,-7.58384,3.00000,-1.87130,4.90712,hand_wash
-2.61750,2.32163,-2.22554,2.17744,8.66875,3.62023,hand_wash
-3.17442,0.77950,-1.13581,0.32241,9.16710,2.05697,hand_wash
-4.75326,1.29041,-5.11674,2.94595,2.50709,6.33449,hand_wash
-4.57227,3.20167,-6.04293,4.77942,-3.33399,5.07164,hand_wash
