@RELATION wada

@ATTRIBUTE mean_x numeric
@ATTRIBUTE std_x numeric
@ATTRIBUTE mean_y numeric
@ATTRIBUTE std_y numeric
@ATTRIBUTE mean_z numeric
@ATTRIBUTE std_z numeric
@ATTRIBUTE Activity {hand_wash,not_hand_wash}

@DATA
7.46138,1.66309,3.88872,0.87670,4.72657,1.05919,not_hand_wash
7.39965,1.65279,4.02676,0.97193,4.69801,1.06752,not_hand_wash
7.44753,1.69234,3.94080,0.92781,4.70673,1.05344,not_hand_wash
7.46498,1.66264,3.82319,0.88403,4.76944,1.08471,not_hand_wash
7.48378,1.83479,3.82993,0.97695,4.52191,1.14925,not_hand_wash
6.45013,2.83190,3.71493,1.58499,5.50727,1.91688,not_hand_wash
-0.25227,0.88162,-0.28752,1.90072,9.51528,2.31598,not_hand_wash
1.58251,2.50537,0.50232,6.38125,7.81105,3.99634,not_hand_wash
1.73676,2.39318,4.63376,9.89039,5.34729,4.80489,not_hand_wash
2.23511,0.54048,6.46647,1.46766,7.22142,1.63261,not_hand_wash
2.20044,0.53223,6.59182,1.51908,7.04677,1.59039,not_hand_wash
2.31417,0.54840,6.46634,1.46824,7.08939,1.63222,not_hand_wash
2.17504,0.49337,6.64536,1.48099,6.98568,1.55717,not_hand_wash
